name,alt,city,town
南澳南溪,,宜蘭縣,蘇澳鎮、南澳鄉
紅石溪,,臺東縣,關山鎮
烏牛欄溪,,臺中市,豐原區
澐水溪,,嘉義縣,中埔鄉
保力溪,,屏東縣,"車城鄉,恆春鎮,牡丹鄉"
吉安溪,,花蓮縣,"花蓮市,吉安鄉"
和平溪,大濁水溪,宜蘭縣,"南澳鄉,花蓮縣秀林鄉"
塔瓦溪,,臺東縣,達仁鄉
朝庸溪,,臺東縣,"大武鄉,達仁鄉"
東埔蚋溪,,南投縣,"竹山鎮,鹿谷鄉"
枋山溪,,屏東縣,"枋山鄉,獅子鄉"
陳有蘭溪,,南投縣,"信義鄉,水里鄉"
安農溪,,宜蘭縣,三星鄉
出水溪,,宜蘭縣,大同鄉
大埔溪,,雲林縣,斗六市
大礁溪,,宜蘭縣,礁溪鄉
頂粗坑溪,,宜蘭縣,員山鄉
松子腳溪,,高雄市,田寮區
六股溪,六股溪排水,桃園市,"新屋區,楊梅區"
豐坪溪,,花蓮縣,卓溪鄉
平林溪,,南投縣,中寮鄉
那拔林溪,那菝林溪,臺南市,新化區
和平溪,,臺東縣,卑南鄉
南澳北溪,,宜蘭縣,蘇澳鎮、南澳鄉
後寮溪,,新北市,雙溪區
魚寮溪,,彰化縣,大城鄉
大湖溪,,宜蘭縣,員山鄉
後堀溪,,臺南市,"南化區,玉井區"
南湖溪,,苗栗縣,大湖鄉
